,uuid_store,owner_sore,owner_name,owner_last_name,store_name,latitude_coordinates,longitude_coordinates,description_store,image_store,store_phone_number,store_email,store_address,company_inscription,premium,product_type,modification_date,discharge_date
436,f5a05565-7889-417a-8547-99d4dc2827ec,,Salomón,Cámara,BODEGA VIDAL,"437008,6","4471263,55",COMERCIO AL POR MENOR DE VINOS Y ALCOHOLES (BODEGA) SIN CONSUMO,,+34 629087221,Salomón_Cámara@crespo.net,"CALLE LAGUNA,44",A85736190,False,B,2022-06-06,2022-06-06
437,a546c8ee-888b-425a-9ed4-b55488aa2ab0,,Rufina,Borrego,LIDL,"437024,6","4471244,55","COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS, CON PREDOMINIO EN PRODUCTOS ALIMENTICIOS, BEBIDAS Y TABACO (GRANDES SUPERFICIES)",,+34 629240734,Rufina_Borrego@roma.net,"CALLE LAGUNA,107",A82940619,True,X,2022-06-06,2022-06-06
440,80c3bec9-dcae-4b93-9f1d-8cf876ba5963,,Encarnación,Quevedo,CARNICERIA ALBERTO BLANCO,"436798,6","4470833,55",COMERCIO AL POR MENOR DE CARNICERIA,,+34 628713228,Encarnación_Quevedo@colom.com,"AVENIDA NUESTRA SEÑORA DE FATIMA,19",A74690514,True,C,2022-06-06,2022-06-06
442,e06c5f88-de98-4a68-a44a-f5b06767d410,,Gertrudis,Lledó,LA FAVORITA ALMACEN DE FRUTAS,"436477,6","4470427,55",COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS SIN OBRADOR,,+34 625146447,Gertrudis_Lledó@barrera.es,"CALLE MONSEÑOR OSCAR ROMERO,84",A13302166,True,F,2022-06-06,2022-06-06
443,4b9617d5-f129-47f6-bcca-ac675338996a,,Wilfredo,Montesinos,FRUTERIA-VERDULERIA,"436188,6","4470167,55",COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS SIN OBRADOR,,+34 628503101,Wilfredo_Montesinos@valls.com,"CALLE PARQUE EUGENIA DE MONTIJO,78",A59214893,True,F,2022-06-06,2022-06-06
444,ab1d0ede-717d-4021-aa86-2cf6fe0b4d8b,,Rafael,Chacón,MERCADONA,"437012,6","4470858,55","COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS, CON PREDOMINIO EN PRODUCTOS ALIMENTICIOS, BEBIDAS Y TABACO (AUTOSERVICIO)",,+34 624208864,Rafael_Chacón@urena.net,"CALLE EULALIA GIL,7",A34789720,False,X,2022-06-06,2022-06-06
448,4a605a16-b5b8-4d16-afe9-0585170be46c,,Martina,Téllez,FRUTAS HERMANOS ROMERO,"437175,6","4470977,54",COMERCIO AL POR MENOR DE CARNICERIA,,+34 627599052,Martina_Téllez@anglada-fabra.com,"AVENIDA PLAZA DE TOROS,25",A99574737,False,C,2022-06-06,2022-06-06
451,1ce3553f-06d6-448c-850c-2bc061a80559,,Samuel,Jáuregui,AVEMAR,"437597,6","4470906,54",COMERCIO AL POR MENOR DE PESCADOS Y MARISCOS SIN OBRADOR,,+34 629094541,Samuel_Jáuregui@yanez.es,"CALLE GENERAL RICARDOS,186",A51480245,True,P,2022-06-06,2022-06-06
452,82d3a032-375c-4a34-8d61-78498f05152a,,Demetrio,Salvà,FRUTAS PEDRO,"437041,59","4469566,54",COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS SIN OBRADOR,,+34 621109937,Demetrio_Salvà@bermudez.com,"CALLE ALBARES DE LA RIBERA,11",A80662226,True,F,2022-06-06,2022-06-06
454,36545ec0-494f-4a2d-a541-1e014b22afc6,,Ignacio,Ballester,TATA,"436349,59","4469545,55","COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS, CON PREDOMINIO EN PRODUCTOS ALIMENTICIOS, BEBIDAS Y TABACO (AUTOSERVICIO)",,+34 626559927,Ignacio_Ballester@santamaria.es,"PLAZA BARRAGAN,1",A26064374,True,X,2022-06-06,2022-06-06
457,62e47a4d-2a96-461e-9d7b-566eb3b2042d,,Blanca,Hoz,PESCADOS Y MARISCOS/PTOS 5 Y 6,"436259,59","4469604,55",COMERCIO AL POR MENOR DE PESCADOS Y MARISCOS SIN OBRADOR,,+34 623702924,Blanca_Hoz@batlle-amor.org,"CALLE EUGENIA DE MONTIJO,95",A86736511,True,P,2022-06-06,2022-06-06
459,a1234a2f-d5cd-459e-9bdb-230f4ee8ebe3,,Daniel,Casal,DIA,"437971,59","4470368,54","COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS, CON PREDOMINIO EN PRODUCTOS ALIMENTICIOS, BEBIDAS Y TABACO (AUTOSERVICIO)",,+34 629185595,Daniel_Casal@velasco-mateos.com,"CALLE CAMINO VIEJO DE LEGANES,177",A88250003,False,X,2022-06-06,2022-06-06
460,0a5eb28a-e4e6-44b9-9d07-e9518644630e,,Bernardo,Donoso,FRUTAS ROSI,"437971,59","4470368,54",COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS SIN OBRADOR,,+34 625456098,Bernardo_Donoso@simo-cabeza.net,"CALLE CAMINO VIEJO DE LEGANES,177",A55907843,False,F,2022-06-06,2022-06-06
462,93349427-169c-40df-af63-77cf32fca6af,,Ximena,Vall,DON CHULETON,"438175,59","4470581,54",COMERCIO AL POR MENOR DE PAN Y PRODUCTOS DE PANADERIA Y BOLLERIA CON OBRADOR,,+34 623672406,Ximena_Vall@canovas.net,"CALLE PELICANO,27",A51924275,True,R,2022-06-06,2022-06-06
464,44ab7107-5d3a-4d90-aeb7-05ea149bcf0b,,Brígida,Cruz,ALIMENTACION,"438272,59","4471097,54","COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS, SIN PREDOMINIO EN PRODUCTOS ALIMENTICIOS, BEBIDAS Y TABACO",,+34 626146086,Brígida_Cruz@bermejo.es,"CALLE CASTRO DE ORO,32",A25218976,True,X,2022-06-06,2022-06-06
465,143faea5-2933-48df-98f8-455171cbac59,,Cintia,Bartolomé,FRUTAS Y VERDURAS CASA MADRID,"437032,6","4471347,55",COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS SIN OBRADOR,,+34 626445010,Cintia_Bartolomé@vicens.com,"CALLE ALBATROS,21",A49044778,False,F,2022-06-06,2022-06-06
466,4f258c86-2c6b-43eb-8249-1858a6b363c6,,Aarón,Jimenez,EL RINCON DE LA FRUTA,"437919,59","4470817,54",COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS SIN OBRADOR,,+34 624692430,Aarón_Jimenez@benavent-fuertes.es,"CALLE ALEJANDRO MORAN,31",A34981573,True,F,2022-06-06,2022-06-06
469,fea86c4f-9dd8-4db3-81f2-74565d83c1a5,,Dafne,Feliu,FRUTAS Y VERDURAS RAFA BATAN,"437902,59","4470311,54",COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS SIN OBRADOR,,+34 627372972,Dafne_Feliu@castejon-quiros.net,"CALLE SAN CLEMENTE,1",A25950390,True,F,2022-06-06,2022-06-06
472,4bdf9651-5cdd-4f46-ba02-d140275d32f3,,Angelina,Casanova,SUPERMERCADO LOS POBLADOS,"437024,6","4471244,55","COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS, CON PREDOMINIO EN PRODUCTOS ALIMENTICIOS, BEBIDAS Y TABACO (AUTOSERVICIO)",,+34 621846721,Angelina_Casanova@sarabia.com,"CALLE LAGUNA,107",A90017122,True,X,2022-06-06,2022-06-06
473,4434a506-8971-45e1-ba83-2e47121bdbf8,,Ruben,Soler,PESCADERIA,"437024,6","4471244,55",COMERCIO AL POR MENOR DE PESCADOS Y MARISCOS SIN OBRADOR,,+34 622801279,Ruben_Soler@mayol-verdu.net,"CALLE LAGUNA,107",A93378416,False,P,2022-06-06,2022-06-06
476,02373e43-ced7-4773-bd94-5eab6598e3ed,,Gabriel,Olivera,DIA MARKET,"436204,6","4470044,55","COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS, CON PREDOMINIO EN PRODUCTOS ALIMENTICIOS, BEBIDAS Y TABACO (AUTOSERVICIO)",,+34 624513525,Gabriel_Olivera@lujan.com,"CALLE PARQUE EUGENIA DE MONTIJO,54",A53794308,False,X,2022-06-06,2022-06-06
479,c64b5c40-a5f1-4521-9b0b-1765119c1c98,,Edelmiro,Polo,SABORES DEL MUNDO S. COOOP. M,0,0,COMERCIO AL POR MENOR DE PRODUCTOS ALIMENTICIOS NO PERECEDEROS ENVASADOS,,+34 626565581,Edelmiro_Polo@olive.com,"AVENIDA NUESTRA SEÑORA DE FATIMA,21",A67196599,False,X,2022-06-06,2022-06-06
484,569bb43a-429c-4706-877f-76d25a6d6690,,Sarita,Vendrell,DIA,"436798,6","4470833,55","COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS, CON PREDOMINIO EN PRODUCTOS ALIMENTICIOS, BEBIDAS Y TABACO (AUTOSERVICIO)",,+34 623511360,Sarita_Vendrell@duran-martin.com,"AVENIDA NUESTRA SEÑORA DE FATIMA,19",A89638742,True,X,2022-06-06,2022-06-06
485,96c41f27-ce9a-44da-bacb-8f1ab8d3434d,,Luciana,Gómez,EL ARCA,"435833,59","4468833,55",COMERCIO AL POR MENOR DE HELADOS CON OBRADOR CON BARRA DE DEGUSTACION,,+34 625344409,Luciana_Gómez@montalban-jodar.es,"CALLE ALFONSO FERNANDEZ,8",A93970534,True,H,2022-06-06,2022-06-06
486,1f6df87e-b2eb-4551-9978-bb2710c18690,,Mercedes,Olivé,VARIANTES,"437025,6","4471232,55",COMERCIO AL POR MENOR DE FRUTOS SECOS Y VARIANTES,,+34 628552624,Mercedes_Olivé@calzada.org,"CALLE LAGUNA,109",A22332098,False,S,2022-06-06,2022-06-06
487,012ea244-979c-408d-8d2e-619423276277,,José Ángel,Rebollo,FRUTAS Y VERDURAS/PTO 10 Y 11,"438769,59","4471831,54",COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS SIN OBRADOR,,+34 620803921,José_Ángel_Rebollo@mendizabal-arregui.com,"CALLE IRLANDA,54",A90055370,False,F,2022-06-06,2022-06-06
489,c777c467-32d6-4e79-852f-f08245695f2c,,Chus,Salom,FRUTAS TOMAS/BCAS 57 Y 58,"437024,6","4471244,55",COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS SIN OBRADOR,,+34 623962600,Chus_Salom@palomares.net,"CALLE LAGUNA,107",A20919216,False,F,2022-06-06,2022-06-06
491,85febb34-ef47-4248-ad35-fdd03fa86c50,,Inmaculada,Plana,SALCHICHERIA,"438452,59","4471497,54",COMERCIO AL POR MENOR DE CHARCUTERIA,,+34 626184515,Inmaculada_Plana@pedro.com,"CALLE SAN PATRICIO,1",A80336166,True,C,2022-06-06,2022-06-06
493,8e045940-0c64-4014-9713-0d9cf6e919a8,,Virginia,Sainz,CARNICERIA,"439596,59","4471924,53",COMERCIO AL POR MENOR DE CARNICERIA,,+34 628081178,Virginia_Sainz@barrena-morante.com,"CALLE ANTONIO LOPEZ,40",A87824508,True,C,2022-06-06,2022-06-06
496,727102c1-03e5-4790-a2bf-99a14467e597,,Anastasia,Pagès,CARNICERIA BUENAS NUEVAS,"437896,58","4469659,54",COMERCIO AL POR MENOR DE CARNICERIA,,+34 623923302,Anastasia_Pagès@quintana-escamilla.com,"CALLE VIA LUSITANA,27",A04906207,False,C,2022-06-06,2022-06-06
497,5e0486fa-b518-4506-98a5-c3d658399a6b,,Benita,Cobo,EL OBRADOR DE ANAHI,"437446,6","4471982,55",COMERCIO AL POR MENOR DE HELADOS SIN OBRADOR,,+34 627774744,Benita_Cobo@quiroga.net,"CALLE MOCHUELO,5",A33350653,True,H,2022-06-06,2022-06-06
500,d9ce2591-f3fa-4107-8f10-6f0166968214,,Loreto,Varela,CARNICERIA MIGUEL,"439396,59","4472047,53",COMERCIO AL POR MENOR DE CARNICERIA,,+34 620416209,Loreto_Varela@ojeda-tamarit.es,"CALLE ANTONIO LOPEZ,6",A91987649,False,C,2022-06-06,2022-06-06
503,1405ba30-3c5c-4917-8e08-85cc697c37bb,,Olga,Caballero,BAZAR ALIMENTACION,"438459,59","4471390,54",COMERCIO AL POR MENOR DE PRODUCTOS ALIMENTICIOS NO PERECEDEROS ENVASADOS,,+34 622766501,Olga_Caballero@bermudez.com,"CALLE CAMINO VIEJO DE LEGANES,32",A49927768,False,X,2022-06-06,2022-06-06
504,375c6628-318a-4822-a805-de8a5c43ab1d,,Daniel,Pascual,VARIANTES ANGEL/BCAS 44 Y 51,"437154,6","4471304,55",COMERCIO AL POR MENOR DE FRUTOS SECOS Y VARIANTES,,+34 627977892,Daniel_Pascual@mir-gimenez.com,"CALLE TUCAN,19",A57605988,False,S,2022-06-06,2022-06-06
506,0a11fc3d-6705-4caf-addf-82abed001eed,,Juanita,Gascón,BODEGAS CALATRAVA,"438299,6","4471547,54",COMERCIO AL POR MENOR DE VINOS Y ALCOHOLES (BODEGA) SIN CONSUMO,,+34 623074869,Juanita_Gascón@portero-ugarte.es,"CALLE EL TOBOSO,23",A50338459,True,B,2022-06-06,2022-06-06
507,c54c00ca-df82-493e-aff1-3e09b1445fab,,Elena,Echevarría,POLLERIA,"436762,6","4470808,55","COMERCIO AL POR MENOR DE AVES, HUEVOS Y CAZA SIN OBRADOR",,+34 624764400,Elena_Echevarría@marcos.es,"AVENIDA NUESTRA SEÑORA DE FATIMA,23",A50522984,False,C,2022-06-06,2022-06-06
518,f7f9eeaf-e01e-4c88-8629-2b89ac445c1e,,Isaías,Andrés,CHARCUTERIA EL SEGOVIANO,"437740,6","4470990,54",COMERCIO AL POR MENOR DE CHARCUTERIA,,+34 621169372,Isaías_Andrés@salom-puerta.com,"CALLE GENERAL RICARDOS,163",A26253207,True,C,2022-06-06,2022-06-06
522,012ee48d-a063-44cf-9f88-41818e4d8881,,Leandra,Girona,PANADERIA TOÃIN CARNICERIA,"437367,57","4468536,54",COMERCIO AL POR MENOR DE CARNICERIA,,+34 628776077,Leandra_Girona@vicens-zaragoza.es,"CALLE CALDERILLA,1",A21080696,True,C,2022-06-06,2022-06-06
523,f4496888-5840-4224-a03c-cb6da33368b1,,Marcela,Fajardo,"GOLOSINAS, APERITIVOS, REFRESCOS Y ARTICULOS DE FIESTA","437409,6","4470895,54",COMERCIO AL POR MENOR DE PRODUCTOS ALIMENTICIOS NO PERECEDEROS ENVASADOS,,+34 628217791,Marcela_Fajardo@hervia-calderon.es,"CALLE MATILDE HERNANDEZ,95",A82075117,True,X,2022-06-06,2022-06-06
526,9b71cb11-9228-44a9-a7f1-8d8b881f9c03,,Encarnacion,Hervia,ALJOMAR,"438168,58","4469453,54",COMERCIO AL POR MENOR DE PESCADOS Y MARISCOS SIN OBRADOR,,+34 626453545,Encarnacion_Hervia@salazar.com,"CALLE ONTANILLA,125",A22667530,True,P,2022-06-06,2022-06-06
527,ef38494f-a556-4697-a54c-7095063b6778,,Valentín,Benitez,PANADERIA OCA 81,"439231,59","4471230,53",COMERCIO AL POR MENOR DE PAN Y PRODUCTOS DE PANADERIA Y BOLLERIA CON OBRADOR,,+34 621149184,Valentín_Benitez@planas-jorda.com,"CALLE ANTONIO DE LEYVA,65",A11054021,False,R,2022-06-06,2022-06-06
528,f813348e-3eb7-4174-9021-f42a8d13a9af,,Hernán,Martinez,MERCADONA,"437419,6","4470943,54","COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS, CON PREDOMINIO EN PRODUCTOS ALIMENTICIOS, BEBIDAS Y TABACO (AUTOSERVICIO)",,+34 621637732,Hernán_Martinez@vila-lucena.es,"CALLE MATILDE HERNANDEZ,90",A89251960,False,X,2022-06-06,2022-06-06
531,fa9548a0-75f2-43f7-b6d6-4ba9a1e33c27,,Marciano,Lago,AVES HUEVOS CAZA,"439264,59","4471319,53","COMERCIO AL POR MENOR DE AVES, HUEVOS Y CAZA SIN OBRADOR",,+34 624661151,Marciano_Lago@roldan-serra.com,"CALLE SORBE,1",A91769626,False,C,2022-06-06,2022-06-06
533,e8a791a6-fa9e-4809-a519-c6bc63c93d0e,,Pánfilo,Solano,CASQUERIAS OSCAR,"438817,59","4471289,53",COMERCIO AL POR MENOR DE CASQUERIA,,+34 622280216,Pánfilo_Solano@vina.org,"CALLE ALEJANDRO SANCHEZ,59",A35473249,True,C,2022-06-06,2022-06-06
535,7cde1a77-3e49-4dc6-94f6-72dffa67d752,,Raquel,Diéguez,CHOCOLATERIA-CHURRERIA,"439403,59","4471887,53","COMERCIO AL POR MENOR DE MASAS Y PATATAS FRITAS, CHURRERIA CON OBRADOR",,+34 626439190,Raquel_Diéguez@manzanares-morillo.com,"CALLE CONDES DE BARCELONA,1",A18993651,True,R,2022-06-06,2022-06-06
536,7d2ab36b-78dd-4b5d-8ddd-df3e35c24721,,Feliciano,Morata,POLLERIA D RIVAS,"436904,6","4471002,55","COMERCIO AL POR MENOR DE AVES, HUEVOS Y CAZA SIN OBRADOR",,+34 620140799,Feliciano_Morata@fuertes-caro.es,"CALLE HALCON,50",A34749910,False,C,2022-06-06,2022-06-06
537,afe52b3e-7fd5-492b-b36a-dc2683b84ebf,,Lina,Palomino,ALIMENTACION&BAZAR DETODO,"437446,6","4471982,55",COMERCIO AL POR MENOR DE PAN Y PRODUCTOS DE PANADERIA Y BOLLERIA CON OBRADOR,,+34 622513762,Lina_Palomino@barreda-valles.es,"CALLE MOCHUELO,5",A71010971,False,R,2022-06-06,2022-06-06
538,9e9f529f-33b9-4b46-8af3-20ce62475d3c,,Flavia,Carrera,COMERCIO DE ENCURTIDOS Y VARIANTES,"437024,6","4471244,55",COMERCIO AL POR MENOR DE FRUTOS SECOS Y VARIANTES,,+34 625172699,Flavia_Carrera@arino.es,"CALLE LAGUNA,107",A03555312,False,S,2022-06-06,2022-06-06
539,1ad9e88c-8330-4c9d-9634-abfe58900546,,Carmela,Valentín,PESCADOS ASUN / ANCHOAS ARTESANALES M ÃÂª ASUN,"439396,59","4472047,53",COMERCIO AL POR MENOR DE PESCADOS Y MARISCOS SIN OBRADOR,,+34 624922075,Carmela_Valentín@herrero-chaves.net,"CALLE ANTONIO LOPEZ,6",A82270151,False,P,2022-06-06,2022-06-06
540,cd13a74b-829f-4ed9-b887-3e2abf3439a6,,Milagros,Beltrán,PANADERIA BOLLERIA  EL 20,"439712,59","4471896,53",COMERCIO AL POR MENOR DE PAN Y PRODUCTOS DE PANADERIA Y BOLLERIA CON OBRADOR,,+34 627382856,Milagros_Beltrán@blanca.org,"CALLE ANTONIO LOPEZ,47",A34171239,True,R,2022-06-06,2022-06-06
541,995a46bb-8523-4481-aba6-5ef141e6b422,,Itziar,Gallo,ALIMENTACI0N-PAN HORNO,"437024,6","4471244,55","COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS, CON PREDOMINIO EN PRODUCTOS ALIMENTICIOS, BEBIDAS Y TABACO (AUTOSERVICIO)",,+34 625825137,Itziar_Gallo@gomila.com,"CALLE LAGUNA,107",A55697843,False,X,2022-06-06,2022-06-06
544,de827b80-0eff-4a67-9dda-70c503b770c9,,Susana,López,CHARCUTERIA  ALEJANDRO RUBIO,"438452,59","4471497,54",COMERCIO AL POR MENOR DE CHARCUTERIA,,+34 623422327,Susana_López@ibarra.net,"CALLE SAN PATRICIO,1",A05132263,False,C,2022-06-06,2022-06-06
551,ca2d0682-e7d7-4002-b8bd-65b72b35488d,,Albert,Canals,COCTELERIA Y DISTRIBUCI0N DE BEBIDAS,"437864,6","4471083,54",COMERCIO AL POR MENOR DE VINOS Y ALCOHOLES (BODEGA) SIN CONSUMO,,+34 628285823,Albert_Canals@luis.com,"CALLE GENERAL RICARDOS,95",A09214761,False,B,2022-06-06,2022-06-06
552,1f6d1253-803e-4742-9923-dc66c7b72242,,Charo,Canet,GRANIER,"436997,59","4469534,54","COMERCIO AL POR MENOR DE PASTELERIA, CONFITERIA, REPOSTERIA CON OBRADOR-BARRA DEGUSTACION",,+34 628584279,Charo_Canet@vives-gisbert.es,"CALLE ALBARES DE LA RIBERA,6",A42437739,True,R,2022-06-06,2022-06-06
560,636b55c4-a4ef-4825-abb5-b5c7355a0a33,,Angelino,Tamarit,CARNICERIA LOPEZ,"437557,6","4470965,54",COMERCIO AL POR MENOR DE CARNICERIA,,+34 621580593,Angelino_Tamarit@santamaria-casas.net,"CALLE JULIA NEBOT,5",A15148339,False,C,2022-06-06,2022-06-06
561,570ed4e3-2d3b-451a-bda5-c56b9da90ad9,,Anabel,Aguilera,BODEGAS EL TOBOSO,"435644,6","4469471,56",COMERCIO AL POR MENOR DE VINOS Y ALCOHOLES (BODEGA) SIN CONSUMO,,+34 628232991,Anabel_Aguilera@milla.es,"CALLE JOSE CABRERA,8",A15836655,True,B,2022-06-06,2022-06-06
562,99e065bf-6580-47b7-9c2e-86156097e07d,,Fito,Alfaro,"GENUINOS REPOSTEROS, S.L","436997,59","4469534,54",COMERCIO AL POR MENOR DE PAN Y PRODUCTOS DE PANADERIA Y BOLLERIA SIN OBRADOR,,+34 624531953,Fito_Alfaro@lobo-segovia.com,"CALLE ALBARES DE LA RIBERA,6",A83651962,True,R,2022-06-06,2022-06-06
563,ffa79fca-d3cc-40a1-bde2-4ff77923d37c,,Fabio,Puente,LA OLLA DEL CHOCOLATE,"435468,59","4468835,56","COMERCIO AL POR MENOR DE MASAS Y PATATAS FRITAS, CHURRERIA CON OBRADOR",,+34 626822809,Fabio_Puente@escalona.com,"CALLE PIQUEÑAS,18",A25313067,True,R,2022-06-06,2022-06-06
567,bd55e2f5-d680-427f-8916-53420a732ed3,,Reynaldo,Mir,AVES Y HUEVOS,"437761,59","4470607,54","COMERCIO AL POR MENOR DE AVES, HUEVOS Y CAZA SIN OBRADOR",,+34 629237159,Reynaldo_Mir@azcona-figuerola.es,"CALLE CLARA CAMPOAMOR,29",A63452179,True,C,2022-06-06,2022-06-06
570,a6f6d350-3813-4050-a75d-7f9d04398cd4,,Samuel,Soto,EMPANAPAN,"438015,59","4470608,54",COMERCIO AL POR MENOR DE PAN Y PRODUCTOS DE PANADERIA Y BOLLERIA CON OBRADOR,,+34 621317541,Samuel_Soto@vicens.net,"PLAZA TARIFA,2",A49648863,True,R,2022-06-06,2022-06-06
574,78499169-8999-42ff-bf27-5eb89e0984e7,,Guiomar,Sanmiguel,AHORRAMAS,"437056,6","4471134,55","COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS, CON PREDOMINIO EN PRODUCTOS ALIMENTICIOS, BEBIDAS Y TABACO (AUTOSERVICIO)",,+34 628120134,Guiomar_Sanmiguel@abad-garriga.es,"CALLE OCA,81",A10354328,False,X,2022-06-06,2022-06-06
576,2a2ef99b-b258-4e42-b6cc-16cc00d8f139,,Renata,Carbajo,CHARCUTERIA CARLOS CARNICERIA,"437571,6","4471262,54",COMERCIO AL POR MENOR DE CARNICERIA-CHARCUTERIA,,+34 620637768,Renata_Carbajo@cuadrado.net,"CALLE OCA,27",A20652072,False,C,2022-06-06,2022-06-06
578,25896f30-f2c4-4eea-b84f-f26c9e54e613,,Vicente,Hurtado,TIM HORTON'S,"439712,59","4471896,53","COMERCIO AL POR MENOR DE  PASTELERIA, CONFITERIA, REPOSTERIA CON OBRADOR-SIN BARRA DEGUSTACION",,+34 622946709,Vicente_Hurtado@real.com,"CALLE ANTONIO LOPEZ,47",A08368832,False,R,2022-06-06,2022-06-06
580,cf52b69e-6f60-4c73-ab78-fda4c372679c,,Salvador,Sosa,ALIMENTACION - FRUTOS SECOS,"436798,6","4470833,55",COMERCIO AL POR MENOR DE PRODUCTOS ALIMENTICIOS NO PERECEDEROS ENVASADOS,,+34 628154193,Salvador_Sosa@cisneros.es,"AVENIDA NUESTRA SEÑORA DE FATIMA,19",A54708790,False,X,2022-06-06,2022-06-06
585,8b0cc57d-6f00-4100-8a51-204acc258cfe,,Desiderio,Blazquez,CARNICERIA,"439230,59","4471223,53",COMERCIO AL POR MENOR DE CARNICERIA-SALCHICHERIA,,+34 626345659,Desiderio_Blazquez@aparicio-galvez.net,"CALLE ANTONIO DE LEYVA,65",A09342875,True,C,2022-06-06,2022-06-06
589,b3a366fd-d76c-4671-beaa-9ce3c63a6a5e,,Maristela,Ponce,FRUTAS Y VERDURAS ANGEL GALAN/BCAS 48 Y 50,"439396,59","4472047,53",COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS SIN OBRADOR,,+34 626771500,Maristela_Ponce@barreda.org,"CALLE ANTONIO LOPEZ,6",A52908679,False,F,2022-06-06,2022-06-06
590,b182cb5a-e3f5-4675-89b6-13802957170c,,Clímaco,Nevado,LOS MARES,"435788,59","4468904,56",COMERCIO AL POR MENOR DE PESCADOS Y MARISCOS SIN OBRADOR,,+34 620442804,Clímaco_Nevado@marti.org,"CALLE ALZINA,10",A94452704,False,P,2022-06-06,2022-06-06
591,536b1248-085c-400e-934a-c60efab9548c,,Montserrat,Calvet,FRUTAS HOY,"437918,59","4470744,54",COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS SIN OBRADOR,,+34 626556113,Montserrat_Calvet@arroyo.es,"CALLE ALVAREZ ABELLAN,25",A57517871,True,F,2022-06-06,2022-06-06
593,f0a00c42-2ef4-462f-9148-aee9b8e79b93,,Reynaldo,Andres,CASQUERIAS OSCAR,"437976,59","4470377,54",COMERCIO AL POR MENOR DE CASQUERIA,,+34 626869712,Reynaldo_Andres@royo.es,"CALLE CAMINO VIEJO DE LEGANES,177",A10654492,False,C,2022-06-06,2022-06-06
594,7635d360-da4b-4210-8c04-3dbf6493c806,,Martin,Reina,LA FRUTERIA DEL BARRIO,"438649,6","4472654,54",COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS SIN OBRADOR,,+34 622886122,Martin_Reina@mulet.net,"AVENIDA MANZANARES,60",A33353797,False,F,2022-06-06,2022-06-06
595,16bedeec-e7fd-4181-a1c5-a7867875718d,,Ani,Campos,CARNICERIA,"439015,59","4472001,53",COMERCIO AL POR MENOR DE CARNICERIA,,+34 628757752,Ani_Campos@castrillo-marco.org,"CALLE GENERAL RICARDOS,20",A90857990,False,C,2022-06-06,2022-06-06
598,168735f9-f93e-482d-a04e-152d12d16d33,,Mamen,Morán,MERCADITO ROJO,"439019,59","4472005,53",COMERCIO AL POR MENOR DE CARNICERIA,,+34 623718587,Mamen_Morán@comas.es,"CALLE GENERAL RICARDOS,20",A31977075,False,C,2022-06-06,2022-06-06
599,490d80f8-518b-4431-ab43-aeaafa90c55c,,Natalio,Luís,CHARCUTERIA GENEROS SELECTOS,"437568,6","4471150,54",COMERCIO AL POR MENOR DE CHARCUTERIA,,+34 625804513,Natalio_Luís@pedrosa-gordillo.com,"CALLE GAVIOTA,21",A82448613,True,C,2022-06-06,2022-06-06
600,c0a06cbb-65d5-46eb-b616-602801aa51af,,Anselmo,Pujadas,SUMA SUPERMERCADOS,"437667,6","4471282,54",COMERCIO AL POR MENOR DE CARNICERIA,,+34 623062222,Anselmo_Pujadas@barcelo-torrent.es,"CALLE OCA,28",A52595008,True,C,2022-06-06,2022-06-06
608,1cbc522c-50b4-491e-922e-1ed5fbe05eb1,,Valeria,Sanjuan,VARIANTES ALIMENTACION JUAN BACALAO,"438452,59","4471497,54",COMERCIO AL POR MENOR DE FRUTOS SECOS Y VARIANTES,,+34 625429745,Valeria_Sanjuan@mate-ayllon.net,"CALLE SAN PATRICIO,1",A47223429,True,S,2022-06-06,2022-06-06
